Category: All categories

Week,pumpkin spice: (United States),corn maze: (United States)
2020-08-09,18,2
2020-08-16,32,3
2020-08-23,58,4
2020-08-30,49,8
2020-09-06,48,14
2020-09-13,49,24
2020-09-20,52,45
2020-09-27,53,64
2020-10-04,49,95
2020-10-11,44,100
2020-10-18,42,85
2020-10-25,42,66
2020-11-01,21,11
2020-11-08,23,4
2020-11-15,24,2
2020-11-22,51,2
2020-11-29,11,1
2020-12-06,10,1
2020-12-13,10,1
2020-12-20,13,1
2020-12-27,7,1
2021-01-03,5,1
2021-01-10,4,1
2021-01-17,4,1
2021-01-24,4,1
2021-01-31,3,1
2021-02-07,3,1
2021-02-14,3,1
2021-02-21,3,1
2021-02-28,3,1
2021-03-07,2,1
2021-03-14,2,1
2021-03-21,2,1
2021-03-28,2,1
2021-04-04,2,1
2021-04-11,2,1
2021-04-18,2,1
2021-04-25,2,1
2021-05-02,2,1
2021-05-09,2,1
2021-05-16,2,1
2021-05-23,2,1
2021-05-30,2,1
2021-06-06,2,1
2021-06-13,2,1
2021-06-20,2,1
2021-06-27,3,1
2021-07-04,3,1
2021-07-11,4,1
2021-07-18,5,2
2021-07-25,8,2
2021-08-01,17,2
2021-08-08,22,3
2021-08-15,42,4
2021-08-22,69,5
2021-08-29,49,8
2021-09-05,45,14
2021-09-12,42,21
2021-09-19,48,36
2021-09-26,50,56
2021-10-03,44,76
2021-10-10,41,99
2021-10-17,39,96
2021-10-24,35,67
2021-10-31,26,21
2021-11-07,22,5
2021-11-14,22,2
2021-11-21,44,2
2021-11-28,10,1
2021-12-05,9,1
2021-12-12,8,1
2021-12-19,11,1
2021-12-26,6,1
2022-01-02,5,1
2022-01-09,5,1
2022-01-16,4,1
2022-01-23,4,1
2022-01-30,4,1
2022-02-06,3,1
2022-02-13,3,1
2022-02-20,3,1
2022-02-27,3,1
2022-03-06,3,1
2022-03-13,3,1
2022-03-20,3,1
2022-03-27,3,1
2022-04-03,2,1
2022-04-10,3,1
2022-04-17,2,1
2022-04-24,2,1
2022-05-01,2,1
2022-05-08,2,1
2022-05-15,2,1
2022-05-22,2,1
2022-05-29,2,1
2022-06-05,2,1
2022-06-12,2,1
2022-06-19,3,1
2022-06-26,3,1
2022-07-03,4,1
2022-07-10,4,1
2022-07-17,5,1
2022-07-24,8,2
2022-07-31,19,3
2022-08-07,31,3
2022-08-14,57,4
2022-08-21,63,6
2022-08-28,89,8
2022-09-04,56,13
2022-09-11,52,18
2022-09-18,55,31
2022-09-25,59,45
2022-10-02,55,66
2022-10-09,50,88
2022-10-16,47,83
2022-10-23,44,68
2022-10-30,36,22
2022-11-06,23,4
2022-11-13,28,2
2022-11-20,50,2
2022-11-27,11,1
2022-12-04,10,1
2022-12-11,9,1
2022-12-18,11,1
2022-12-25,7,1
2023-01-01,6,1
2023-01-08,5,1
2023-01-15,4,1
2023-01-22,4,1
2023-01-29,4,1
2023-02-05,3,1
2023-02-12,3,1
2023-02-19,3,1
2023-02-26,3,1
2023-03-05,3,1
2023-03-12,3,1
2023-03-19,3,1
2023-03-26,3,1
2023-04-02,3,1
2023-04-09,2,1
2023-04-16,2,1
2023-04-23,2,1
2023-04-30,2,1
2023-05-07,2,1
2023-05-14,2,1
2023-05-21,2,1
2023-05-28,2,1
2023-06-04,2,1
2023-06-11,2,1
2023-06-18,3,1
2023-06-25,3,1
2023-07-02,3,1
2023-07-09,4,1
2023-07-16,6,1
2023-07-23,8,2
2023-07-30,17,2
2023-08-06,30,3
2023-08-13,51,4
2023-08-20,87,5
2023-08-27,60,8
2023-09-03,65,12
2023-09-10,69,17
2023-09-17,66,25
2023-09-24,61,36
2023-10-01,57,56
2023-10-08,58,71
2023-10-15,51,82
2023-10-22,46,64
2023-10-29,40,23
2023-11-05,24,5
2023-11-12,24,2
2023-11-19,48,2
2023-11-26,12,1
2023-12-03,10,1
2023-12-10,8,1
2023-12-17,9,1
2023-12-24,8,1
2023-12-31,5,1
2024-01-07,4,1
2024-01-14,5,1
2024-01-21,4,1
2024-01-28,4,1
2024-02-04,3,1
2024-02-11,3,1
2024-02-18,3,1
2024-02-25,3,1
2024-03-03,3,1
2024-03-10,3,1
2024-03-17,2,1
2024-03-24,3,1
2024-03-31,3,1
2024-04-07,2,1
2024-04-14,2,1
2024-04-21,2,1
2024-04-28,2,1
2024-05-05,2,1
2024-05-12,2,1
2024-05-19,2,1
2024-05-26,2,1
2024-06-02,3,1
2024-06-09,2,1
2024-06-16,3,1
2024-06-23,3,1
2024-06-30,4,1
2024-07-07,5,1
2024-07-14,6,2
2024-07-21,9,2
2024-07-28,16,2
2024-08-04,23,3
2024-08-11,39,4
2024-08-18,95,5
2024-08-25,63,6
2024-09-01,68,13
2024-09-08,61,17
2024-09-15,54,22
2024-09-22,49,26
2024-09-29,56,45
2024-10-06,47,61
2024-10-13,45,71
2024-10-20,42,61
2024-10-27,38,33
2024-11-03,25,6
2024-11-10,20,3
2024-11-17,22,2
2024-11-24,42,1
2024-12-01,11,1
2024-12-08,9,1
2024-12-15,9,1
2024-12-22,10,1
2024-12-29,6,1
2025-01-05,6,1
2025-01-12,4,1
2025-01-19,4,1
2025-01-26,4,1
2025-02-02,4,1
2025-02-09,3,1
2025-02-16,3,1
2025-02-23,3,1
2025-03-02,3,1
2025-03-09,3,1
2025-03-16,3,1
2025-03-23,3,1
2025-03-30,3,1
2025-04-06,3,1
2025-04-13,3,1
2025-04-20,3,1
2025-04-27,3,1
2025-05-04,3,1
2025-05-11,3,1
2025-05-18,3,1
2025-05-25,3,1
2025-06-01,3,1
2025-06-08,3,1
2025-06-15,3,1
2025-06-22,3,1
2025-06-29,4,1
2025-07-06,7,1
2025-07-13,7,1
2025-07-20,13,2
2025-07-27,16,2
2025-08-03,27,3
2025-08-10,32,3
