# Title: North America 12-Month Period Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
195001,-0.15
195002,-0.04
195003,-0.13
195004,-0.24
195005,-0.25
195006,-0.26
195007,-0.29
195008,-0.38
195009,-0.37
195010,-0.33
195011,-0.52
195012,-0.41
195101,-0.32
195102,-0.28
195103,-0.36
195104,-0.27
195105,-0.21
195106,-0.21
195107,-0.15
195108,-0.08
195109,-0.06
195110,-0.13
195111,-0.13
195112,-0.32
195201,-0.32
195202,-0.24
195203,-0.16
195204,-0.07
195205,-0.05
195206,0.02
195207,0.01
195208,0.01
195209,0.01
195210,0.06
195211,0.21
195212,0.5
195301,0.6
195302,0.68
195303,0.78
195304,0.76
195305,0.72
195306,0.71
195307,0.73
195308,0.77
195309,0.79
195310,0.84
195311,0.85
195312,0.7
195401,0.55
195402,0.61
195403,0.55
195404,0.44
195405,0.4
195406,0.39
195407,0.39
195408,0.38
195409,0.39
195410,0.37
195411,0.41
195412,0.43
195501,0.58
195502,0.29
195503,0.18
195504,0.3
195505,0.33
195506,0.33
195507,0.32
195508,0.31
195509,0.27
195510,0.3
195511,0
195512,-0.14
195601,-0.19
195602,-0.13
195603,-0.08
195604,-0.17
195605,-0.24
195606,-0.24
195607,-0.27
195608,-0.31
195609,-0.38
195610,-0.48
195611,-0.36
195612,-0.3
195701,-0.4
195702,-0.31
195703,-0.19
195704,-0.16
195705,-0.13
195706,-0.13
195707,-0.1
195708,-0.07
195709,0.03
195710,0.03
195711,0.06
195712,0.13
195801,0.39
195802,0.31
195803,0.3
195804,0.3
195805,0.39
195806,0.39
195807,0.38
195808,0.4
195809,0.39
195810,0.43
195811,0.41
195812,0.37
195901,0.15
195902,0.17
195903,0.06
195904,0.04
195905,-0.05
195906,-0.05
195907,-0.06
195908,-0.13
195909,-0.15
195910,-0.25
195911,-0.3
195912,-0.13
196001,-0.05
196002,0.01
196003,-0.11
196004,-0.09
196005,-0.03
196006,0
196007,0.03
196008,0.08
196009,0.11
196010,0.25
196011,0.33
196012,0.22
196101,0.22
196102,0.23
196103,0.32
196104,0.27
196105,0.2
196106,0.2
196107,0.19
196108,0.2
196109,0.11
196110,-0.01
196111,-0.05
196112,-0.19
196201,-0.27
196202,-0.36
196203,-0.29
196204,-0.23
196205,-0.21
196206,-0.24
196207,-0.28
196208,-0.29
196209,-0.24
196210,-0.12
196211,-0.02
196212,0.14
196301,0.12
196302,0.22
196303,0.21
196304,0.28
196305,0.27
196306,0.26
196307,0.29
196308,0.27
196309,0.3
196310,0.38
196311,0.33
196312,0.24
196401,0.36
196402,0.37
196403,0.18
196404,0.07
196405,0.08
196406,0.05
196407,0.03
196408,-0.02
196409,-0.09
196410,-0.25
196411,-0.29
196412,-0.39
196501,-0.46
196502,-0.63
196503,-0.52
196504,-0.45
196505,-0.43
196506,-0.45
196507,-0.49
196508,-0.48
196509,-0.54
196510,-0.53
196511,-0.46
196512,-0.27
196601,-0.47
196602,-0.38
196603,-0.29
196604,-0.39
196605,-0.43
196606,-0.37
196607,-0.29
196608,-0.25
196609,-0.11
196610,-0.14
196611,-0.27
196612,-0.33
196701,-0.07
196702,-0.14
196703,-0.21
196704,-0.2
196705,-0.22
196706,-0.25
196707,-0.32
196708,-0.33
196709,-0.34
196710,-0.31
196711,-0.26
196712,-0.19
196801,-0.31
196802,-0.24
196803,-0.1
196804,-0.04
196805,-0.03
196806,-0.01
196807,-0.02
196808,-0.07
196809,-0.08
196810,-0.01
196811,0.03
196812,-0.13
196901,-0.15
196902,-0.07
196903,-0.26
196904,-0.2
196905,-0.15
196906,-0.19
196907,-0.16
196908,-0.08
196909,-0.09
196910,-0.2
196911,-0.21
196912,0.05
197001,0.08
197002,0.07
197003,0.16
197004,0.06
197005,0.01
197006,0.07
197007,0.09
197008,0.09
197009,0.06
197010,0.09
197011,0.07
197012,-0.2
197101,-0.26
197102,-0.32
197103,-0.34
197104,-0.3
197105,-0.29
197106,-0.26
197107,-0.29
197108,-0.31
197109,-0.28
197110,-0.22
197111,-0.26
197112,-0.28
197201,-0.25
197202,-0.4
197203,-0.37
197204,-0.44
197205,-0.42
197206,-0.51
197207,-0.56
197208,-0.57
197209,-0.66
197210,-0.77
197211,-0.8
197212,-0.85
197301,-0.71
197302,-0.6
197303,-0.5
197304,-0.45
197305,-0.44
197306,-0.37
197307,-0.3
197308,-0.24
197309,-0.14
197310,0.02
197311,0.04
197312,0.24
197401,0.11
197402,0.12
197403,-0.01
197404,0
197405,-0.05
197406,-0.07
197407,-0.06
197408,-0.14
197409,-0.25
197410,-0.39
197411,-0.3
197412,-0.31
197501,-0.3
197502,-0.28
197503,-0.34
197504,-0.38
197505,-0.32
197506,-0.3
197507,-0.27
197508,-0.24
197509,-0.19
197510,-0.13
197511,-0.19
197512,-0.28
197601,-0.21
197602,-0.13
197603,-0.05
197604,0.1
197605,0.06
197606,0.04
197607,0.01
197608,0
197609,0.08
197610,-0.01
197611,0.02
197612,0.04
197701,0.09
197702,0.23
197703,0.34
197704,0.36
197705,0.46
197706,0.51
197707,0.52
197708,0.54
197709,0.54
197710,0.66
197711,0.69
197712,0.65
197801,0.57
197802,0.4
197803,0.27
197804,0.19
197805,0.1
197806,0.02
197807,0
197808,-0.01
197809,-0.04
197810,-0.13
197811,-0.22
197812,-0.12
197901,-0.15
197902,-0.47
197903,-0.44
197904,-0.48
197905,-0.51
197906,-0.49
197907,-0.45
197908,-0.44
197909,-0.4
197910,-0.3
197911,-0.17
197912,-0.08
198001,0.06
198002,0.51
198003,0.51
198004,0.6
198005,0.72
198006,0.76
198007,0.77
198008,0.8
198009,0.74
198010,0.7
198011,0.73
198012,0.52
198101,0.71
198102,0.76
198103,0.94
198104,0.93
198105,0.87
198106,0.87
198107,0.85
198108,0.88
198109,0.94
198110,0.93
198111,1.01
198112,1.2
198201,0.73
198202,0.51
198203,0.29
198204,0.14
198205,0.09
198206,0.03
198207,0.01
198208,-0.08
198209,-0.13
198210,-0.16
198211,-0.41
198212,-0.45
198301,-0.2
198302,-0.1
198303,-0.08
198304,-0.04
198305,-0.12
198306,-0.07
198307,-0.05
198308,0.05
198309,0.09
198310,0.11
198311,0.33
198312,0.1
198401,0.02
198402,0.09
198403,0.11
198404,0.21
198405,0.31
198406,0.33
198407,0.32
198408,0.31
198409,0.23
198410,0.2
198411,0.04
198412,0.15
198501,0.29
198502,0.05
198503,0.11
198504,0.09
198505,0.17
198506,0.13
198507,0.11
198508,0.02
198509,0.06
198510,0.05
198511,-0.06
198512,0.05
198601,0.12
198602,0.37
198603,0.38
198604,0.38
198605,0.35
198606,0.35
198607,0.33
198608,0.35
198609,0.35
198610,0.33
198611,0.33
198612,0.46
198701,0.49
198702,0.49
198703,0.45
198704,0.52
198705,0.52
198706,0.59
198707,0.63
198708,0.63
198709,0.71
198710,0.76
198711,1.01
198712,1.03
198801,0.8
198802,0.7
198803,0.76
198804,0.76
198805,0.78
198806,0.79
198807,0.83
198808,0.89
198809,0.85
198810,0.87
198811,0.82
198812,0.67
198901,0.7
198902,0.61
198903,0.4
198904,0.39
198905,0.33
198906,0.3
198907,0.31
198908,0.29
198909,0.28
198910,0.25
198911,0.15
198912,0.04
199001,0.15
199002,0.1
199003,0.33
199004,0.31
199005,0.33
199006,0.35
199007,0.31
199008,0.31
199009,0.37
199010,0.32
199011,0.36
199012,0.33
199101,0.18
199102,0.48
199103,0.43
199104,0.44
199105,0.51
199106,0.52
199107,0.52
199108,0.54
199109,0.48
199110,0.52
199111,0.48
199112,0.63
199201,0.84
199202,0.71
199203,0.76
199204,0.67
199205,0.54
199206,0.45
199207,0.36
199208,0.27
199209,0.19
199210,0.21
199211,0.3
199212,0.21
199301,0.07
199302,-0.04
199303,-0.1
199304,-0.06
199305,0.03
199306,0.06
199307,0.12
199308,0.17
199309,0.21
199310,0.21
199311,0.14
199312,0.25
199401,0.14
199402,0.05
199403,0.09
199404,0.1
199405,0.1
199406,0.17
199407,0.22
199408,0.25
199409,0.35
199410,0.41
199411,0.51
199412,0.53
199501,0.74
199502,0.93
199503,0.84
199504,0.84
199505,0.82
199506,0.82
199507,0.78
199508,0.81
199509,0.78
199510,0.73
199511,0.68
199512,0.57
199601,0.36
199602,0.41
199603,0.37
199604,0.34
199605,0.31
199606,0.3
199607,0.31
199608,0.26
199609,0.22
199610,0.15
199611,0.1
199612,0.14
199701,0.23
199702,0.2
