Category: All categories

Month,algae biofuel: (United States),hydrogen power: (United States),wave energy power: (United States)
2004-01,0,47,0
2004-02,0,72,0
2004-03,0,47,0
2004-04,0,81,0
2004-05,0,79,0
2004-06,0,48,0
2004-07,0,35,0
2004-08,0,40,0
2004-09,0,32,0
2004-10,0,69,0
2004-11,0,70,0
2004-12,0,48,0
2005-01,0,47,0
2005-02,0,58,0
2005-03,0,75,0
2005-04,0,78,17
2005-05,0,65,13
2005-06,0,61,0
2005-07,0,67,0
2005-08,0,49,0
2005-09,0,67,0
2005-10,0,56,0
2005-11,0,59,0
2005-12,0,38,8
2006-01,0,49,0
2006-02,0,71,0
2006-03,0,58,0
2006-04,0,60,0
2006-05,0,98,0
2006-06,0,46,7
2006-07,0,43,0
2006-08,0,30,0
2006-09,0,48,0
2006-10,0,47,0
2006-11,0,40,0
2006-12,0,43,0
2007-01,0,42,5
2007-02,0,41,6
2007-03,0,45,7
2007-04,5,46,0
2007-05,6,49,7
2007-06,0,30,0
2007-07,0,32,5
2007-08,0,26,5
2007-09,8,28,5
2007-10,8,38,7
2007-11,12,50,4
2007-12,8,41,7
2008-01,10,44,7
2008-02,13,45,6
2008-03,12,57,7
2008-04,34,69,7
2008-05,21,100,8
2008-06,25,95,6
2008-07,23,65,7
2008-08,23,46,0
2008-09,29,40,7
2008-10,28,39,11
2008-11,29,36,8
2008-12,28,31,8
2009-01,26,30,7
2009-02,31,28,7
2009-03,22,34,11
2009-04,24,32,7
2009-05,18,32,9
2009-06,16,18,7
2009-07,26,16,5
2009-08,21,17,3
2009-09,31,21,0
2009-10,28,24,7
2009-11,26,24,9
2009-12,25,23,7
2010-01,19,24,5
2010-02,22,26,8
2010-03,24,26,10
2010-04,30,27,8
2010-05,23,27,11
2010-06,17,15,5
2010-07,16,13,3
2010-08,13,13,4
2010-09,15,17,4
2010-10,17,20,5
2010-11,24,22,7
2010-12,18,23,4
2011-01,19,21,5
2011-02,21,29,6
2011-03,23,42,8
2011-04,29,34,8
2011-05,22,30,7
2011-06,16,18,4
2011-07,17,10,3
2011-08,15,13,2
2011-09,16,17,4
2011-10,15,22,4
2011-11,20,21,9
2011-12,16,19,7
2012-01,18,20,3
2012-02,25,24,7
2012-03,26,24,7
2012-04,18,26,11
2012-05,15,24,8
2012-06,11,10,5
2012-07,9,11,2
2012-08,8,10,3
2012-09,13,17,5
2012-10,14,18,6
2012-11,16,20,7
2012-12,11,17,6
2013-01,12,15,5
2013-02,13,18,5
2013-03,15,20,5
2013-04,16,22,9
2013-05,11,21,8
2013-06,7,11,4
2013-07,6,10,2
2013-08,6,10,3
2013-09,8,14,4
2013-10,11,20,5
2013-11,12,25,7
2013-12,8,17,6
2014-01,9,18,5
2014-02,11,20,6
2014-03,11,22,7
2014-04,10,23,9
2014-05,11,21,9
2014-06,6,14,3
2014-07,8,10,3
2014-08,6,9,2
2014-09,8,16,3
2014-10,8,18,5
2014-11,9,20,7
2014-12,7,19,7
2015-01,6,20,5
2015-02,8,19,5
2015-03,9,20,7
2015-04,10,23,9
2015-05,6,22,8
2015-06,5,10,5
2015-07,2,10,2
2015-08,2,10,2
2015-09,6,17,3
2015-10,6,19,6
2015-11,7,20,6
2015-12,8,16,7
2016-01,6,19,4
2016-02,7,18,6
2016-03,6,19,7
2016-04,8,21,10
2016-05,5,20,10
2016-06,3,11,4
2016-07,3,6,2
2016-08,3,9,2
2016-09,5,14,4
2016-10,6,16,6
2016-11,6,16,7
2016-12,5,14,6
2017-01,3,16,5
2017-02,7,19,7
2017-03,7,19,7
2017-04,10,23,10
2017-05,11,20,10
2017-06,4,9,3
2017-07,2,8,2
2017-08,2,10,1
2017-09,5,17,3
2017-10,6,17,5
2017-11,6,16,6
2017-12,4,15,6
2018-01,5,13,5
2018-02,6,17,6
2018-03,6,18,7
2018-04,9,19,7
2018-05,8,18,9
2018-06,4,9,3
2018-07,3,7,2
2018-08,3,8,2
2018-09,5,13,4
2018-10,7,16,5
2018-11,6,16,6
2018-12,4,13,5
2019-01,5,15,5
2019-02,5,18,5
2019-03,5,18,5
2019-04,5,19,7
2019-05,4,19,7
2019-06,3,11,3
2019-07,2,8,2
2019-08,2,10,2
2019-09,4,15,3
2019-10,8,16,4
2019-11,16,16,4
2019-12,9,15,5
2020-01,5,18,4
2020-02,5,25,5
2020-03,5,18,6
2020-04,3,21,7
2020-05,3,21,7
2020-06,2,17,4
2020-07,2,16,3
2020-08,1,17,2
2020-09,4,24,4
2020-10,3,25,5
2020-11,2,24,5
2020-12,2,26,4
2021-01,3,31,4
2021-02,3,32,5
2021-03,3,26,6
2021-04,3,25,6
2021-05,2,24,7
2021-06,1,20,4
2021-07,1,15,3
2021-08,1,15,2
2021-09,2,18,2
2021-10,3,20,4
2021-11,2,22,5
2021-12,2,19,4
2022-01,3,22,4
2022-02,4,29,5
2022-03,4,35,8
2022-04,5,43,11
2022-05,4,38,14
2022-06,2,26,6
2022-07,1,23,3
2022-08,2,25,3
2022-09,3,28,6
2022-10,3,30,6
2022-11,4,29,8
2022-12,2,32,7
2023-01,5,33,8
2023-02,5,44,9
2023-03,3,38,9
2023-04,3,37,11
2023-05,3,37,11
2023-06,2,22,5
2023-07,1,22,3
2023-08,2,24,3
2023-09,3,30,5
2023-10,5,38,8
2023-11,4,32,9
2023-12,3,29,7
2024-01,4,35,7
2024-02,5,54,10
2024-03,3,44,9
2024-04,4,44,14
2024-05,3,38,13
2024-06,2,22,5
2024-07,1,19,4
2024-08,1,21,3
2024-09,3,28,6
2024-10,3,36,9
2024-11,2,32,8
2024-12,2,28,8
2025-01,3,32,5
2025-02,4,42,8
2025-03,3,38,9
2025-04,3,42,13
2025-05,2,38,12
2025-06,1,28,6
2025-07,1,40,5
2025-08,1,30,4
2025-09,1,24,4
