Category: All categories

Day,debate: (United States),harris: (United States),trump: (United States),Joe Biden: (United States)
2024-06-12,<1,1,2,1
2024-06-13,<1,1,2,1
2024-06-14,<1,1,3,1
2024-06-15,<1,1,2,1
2024-06-16,<1,1,2,1
2024-06-17,<1,1,2,2
2024-06-18,<1,1,2,2
2024-06-19,<1,1,2,1
2024-06-20,1,1,2,1
2024-06-21,1,1,2,1
2024-06-22,1,1,2,1
2024-06-23,1,1,2,1
2024-06-24,2,1,2,1
2024-06-25,2,1,3,1
2024-06-26,3,1,3,1
2024-06-27,14,1,4,3
2024-06-28,31,1,14,18
2024-06-29,4,1,4,6
2024-06-30,2,1,3,5
2024-07-01,1,1,4,4
2024-07-02,1,1,4,3
2024-07-03,1,1,3,4
2024-07-04,1,1,3,4
2024-07-05,<1,1,3,5
2024-07-06,<1,1,3,7
2024-07-07,<1,1,2,3
2024-07-08,<1,1,2,3
2024-07-09,<1,1,3,3
2024-07-10,<1,1,3,3
2024-07-11,<1,1,3,8
2024-07-12,<1,1,4,8
2024-07-13,<1,1,66,4
2024-07-14,<1,1,100,6
2024-07-15,<1,1,30,4
2024-07-16,<1,1,19,3
2024-07-17,<1,1,14,5
2024-07-18,<1,2,15,9
2024-07-19,<1,2,22,12
2024-07-20,<1,1,9,6
2024-07-21,<1,11,11,40
2024-07-22,<1,16,9,12
2024-07-23,<1,14,8,10
2024-07-24,<1,10,7,5
2024-07-25,<1,11,7,5
2024-07-26,1,8,7,2
2024-07-27,<1,6,7,2
2024-07-28,<1,5,7,1
2024-07-29,<1,5,9,1
2024-07-30,<1,5,7,1
2024-07-31,<1,6,8,1
2024-08-01,<1,7,7,1
2024-08-02,<1,5,5,1
2024-08-03,<1,4,5,1
2024-08-04,<1,4,4,1
2024-08-05,<1,4,4,1
2024-08-06,<1,9,4,1
2024-08-07,<1,6,5,1
2024-08-08,<1,5,5,1
2024-08-09,<1,4,5,1
2024-08-10,<1,4,5,1
2024-08-11,<1,4,4,1
2024-08-12,<1,4,5,1
2024-08-13,<1,3,7,1
2024-08-14,<1,3,4,1
2024-08-15,<1,3,4,1
2024-08-16,<1,3,4,1
2024-08-17,<1,3,4,1
2024-08-18,<1,3,4,1
2024-08-19,<1,3,4,1
2024-08-20,<1,4,5,3
2024-08-21,<1,5,6,1
2024-08-22,<1,4,6,1
2024-08-23,<1,10,7,1
2024-08-24,<1,4,6,1
2024-08-25,<1,3,4,1
2024-08-26,1,3,4,1
2024-08-27,<1,3,4,1
2024-08-28,<1,3,4,<1
2024-08-29,<1,4,5,1
2024-08-30,<1,5,4,1
2024-08-31,<1,3,4,<1
2024-09-01,<1,3,4,<1
2024-09-02,<1,3,3,1
2024-09-03,1,3,3,<1
2024-09-04,1,3,4,<1
2024-09-05,1,3,4,1
2024-09-06,1,2,4,1
2024-09-07,1,2,3,<1
2024-09-08,2,2,3,<1
2024-09-09,4,3,4,<1
2024-09-10,21,4,6,1
2024-09-11,40,14,18,2
2024-09-12,8,6,10,2
