Gene,Gene_Symbol,Sample,Sample_Type,Expression
211696_x_at,HBB,GSM398074,Normal,1335.82
211696_x_at,HBB,GSM398075,Cancer,1041.24
211696_x_at,HBB,GSM398076,Normal,8813.16
211696_x_at,HBB,GSM398077,Cancer,663.099
211696_x_at,HBB,GSM398078,Normal,1188.76
211696_x_at,HBB,GSM398079,Cancer,729.495
211696_x_at,HBB,GSM398080,Normal,3454.12
211696_x_at,HBB,GSM398081,Cancer,800.506
211696_x_at,HBB,GSM398082,Normal,6226.05
211696_x_at,HBB,GSM398083,Cancer,3233.46
211696_x_at,HBB,GSM398084,Normal,4764.12
211696_x_at,HBB,GSM398085,Cancer,1332.48
211696_x_at,HBB,GSM398086,Normal,1083.2
211696_x_at,HBB,GSM398087,Cancer,654.209
211696_x_at,HBB,GSM398088,Normal,3996.28
211696_x_at,HBB,GSM398089,Cancer,890.223
211696_x_at,HBB,GSM398090,Normal,1780.59
211696_x_at,HBB,GSM398091,Cancer,1116.0
211696_x_at,HBB,GSM398092,Normal,4845.71
211696_x_at,HBB,GSM398093,Cancer,957.208
211696_x_at,HBB,GSM398094,Normal,3337.66
211696_x_at,HBB,GSM398095,Cancer,930.648
211696_x_at,HBB,GSM398096,Normal,2199.67
211696_x_at,HBB,GSM398097,Cancer,1322.07
211696_x_at,HBB,GSM398098,Normal,1302.7
211696_x_at,HBB,GSM398099,Cancer,1505.68
211696_x_at,HBB,GSM398100,Normal,1595.86
211696_x_at,HBB,GSM398101,Cancer,1029.1
211696_x_at,HBB,GSM398102,Normal,9247.1
211696_x_at,HBB,GSM398103,Cancer,2619.77
211696_x_at,HBB,GSM398104,Normal,13551.5
211696_x_at,HBB,GSM398105,Cancer,1859.3
211696_x_at,HBB,GSM398106,Normal,8319.25
211696_x_at,HBB,GSM398107,Cancer,1888.38
211696_x_at,HBB,GSM398108,Normal,11333.0
211696_x_at,HBB,GSM398109,Cancer,2449.79
211696_x_at,HBB,GSM398110,Normal,12002.2
211696_x_at,HBB,GSM398111,Cancer,884.91
211696_x_at,HBB,GSM398112,Normal,2460.08
211696_x_at,HBB,GSM398113,Cancer,1571.52
211696_x_at,HBB,GSM398114,Normal,4249.44
211696_x_at,HBB,GSM398115,Cancer,3380.55
211696_x_at,HBB,GSM398116,Normal,5031.17
211696_x_at,HBB,GSM398117,Cancer,2163.09
211696_x_at,HBB,GSM398118,Normal,12459.5
211696_x_at,HBB,GSM398119,Cancer,10415.4
211696_x_at,HBB,GSM398120,Normal,5746.21
211696_x_at,HBB,GSM398121,Cancer,1662.43
211696_x_at,HBB,GSM398122,Normal,2367.44
211696_x_at,HBB,GSM398123,Cancer,1276.37
211696_x_at,HBB,GSM398124,Normal,6084.94
211696_x_at,HBB,GSM398125,Cancer,1744.48
211696_x_at,HBB,GSM398126,Normal,10484.1
211696_x_at,HBB,GSM398127,Cancer,1140.98
211696_x_at,HBB,GSM398128,Normal,12437.8
