time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-01T01:35:48.710Z,37.4161667,-121.7886667,3.16,2.64,md,95,30,0.03537,0.08,nc,nc73931501,2023-11-04T21:36:07.040Z,"6 km NNE of Alum Rock, CA",earthquake,0.1,0.29,0.113,79,reviewed,nc,nc
2023-09-01T03:22:51.760Z,33.1606667,-115.9358333,7.47,2.59,ml,77,40,0.03741,0.18,ci,ci39656434,2023-11-04T21:36:08.040Z,"16 km S of Salton City, CA",earthquake,0.16,0.44,0.141,25,reviewed,ci,ci
2023-09-01T04:07:53.110Z,32.3861667,-115.1426667,11,2.54,ml,26,68,0.068,0.29,ci,ci39656442,2023-11-04T21:36:08.040Z,"6 km NE of Delta, B.C., MX",earthquake,0.45,0.82,0.083,25,reviewed,ci,ci
2023-09-01T09:13:18.922Z,31.93267822,-102.0206507,8.387980143,2.8,ml,20,58,0.1000003256,0.1,tx,tx2023rcrm,2023-11-04T21:36:09.040Z,"8 km SE of Midland, Texas",earthquake,0.6173317846,1.413610826,0.2,30,reviewed,tx,tx
2023-09-01T09:27:48.139Z,38.6879,-97.5303,8.254,2.6,ml,23,118,0.726,0.37,us,us7000kskr,2023-11-04T21:36:09.040Z,"6 km E of Assaria, Kansas",earthquake,1.69,6.909,0.055,43,reviewed,us,us
2023-09-01T12:11:43.657Z,28.95172119,-97.63200827,2.078653971,2.9,ml,20,90,0.09815151408,0.3,tx,tx2023rcxj,2023-11-04T21:36:12.040Z,"4 km NNW of Nordheim, Texas",earthquake,1.268613927,1.654033114,0.2,13,reviewed,tx,tx
2023-09-01T20:43:01.300Z,36.26766667,-97.26883333,5.56,2.65,ml,98,27,0,0.21,ok,ok2023rdog,2023-11-04T21:36:15.040Z,"2 km SE of Perry, Oklahoma",earthquake,,0.3,0.23,37,reviewed,ok,ok
2023-09-01T23:30:16.020Z,40.6023333,-121.8291667,14.04,3.06,ml,45,36,0.09811,0.13,nc,nc73931886,2023-11-04T21:36:15.040Z,"13 km NNE of Shingletown, CA",earthquake,0.18,0.52,0.152,36,reviewed,nc,nc
2023-09-01T23:56:51.230Z,38.8053333,-122.811,3.61,2.8,md,86,26,0.01254,0.06,nc,nc73931896,2023-11-04T21:36:15.040Z,"6 km WNW of The Geysers, CA",earthquake,0.09,0.13,0.217,111,reviewed,nc,nc
2023-09-02T04:28:28.649Z,31.58604836,-104.498986,6.054443359000001,3.4,ml,35,142,0.08270689757,0.3,tx,tx2023redp,2023-11-04T21:36:16.040Z,"66 km S of Whites City, New Mexico",earthquake,1.4878739409999997,1.337886676,0.2,24,reviewed,tx,tx
2023-09-02T06:07:45.626Z,31.60789016,-103.9685271,8.342456055,2.7,ml,17,66,0.002827188665,0.1,tx,tx2023regw,2023-11-04T21:36:17.040Z,"36 km NNW of Toyah, Texas",earthquake,0.5574125179,0.5333334889,0.1,8,reviewed,tx,tx
2023-09-02T13:28:04.194Z,31.67356557,-104.2051353,6.388647461,2.6,ml,26,58,0.05098732042,0.2,tx,tx2023revi,2023-11-04T21:36:18.040Z,"55 km NW of Toyah, Texas",earthquake,0.5717705921,0.7342507155,0.1,16,reviewed,tx,tx
2023-09-02T18:03:12.777Z,43.7308,-105.2779,0,3.6,ml,46,76,0.979,0.75,us,us7000ksw5,2023-11-04T21:35:22.040Z,"17 km E of Wright, Wyoming",mining explosion,5.38,1.86,0.038,89,reviewed,us,us
2023-09-02T18:10:00.140Z,35.9913333,-120.1221667,12.87,2.9,mh,24,241,0.1415,0.07,nc,nc73932271,2023-09-08T02:36:14.523Z,"2 km SSE of Avenal, CA",earthquake,0.58,0.82,,0,reviewed,nc,nc
2023-09-02T20:21:54.718Z,32.0038481,-103.8302184,6.607165527,2.7,ml,25,48,0.02488819032,0.2,tx,tx2023rfjb,2023-11-04T21:36:19.040Z,"33 km SE of Malaga, New Mexico",earthquake,0.4273484742,0.532945083,0.1,13,reviewed,tx,tx
2023-09-03T06:12:48.216Z,40.204,-98.3148,9.331,2.5,mb_lg,10,66,1.21,0.31,us,us7000ksym,2023-09-23T09:36:04.040Z,"10 km SSW of Lawrence, Nebraska",earthquake,3.55,6.705,0.089,33,reviewed,us,us
2023-09-03T07:48:46.117Z,31.60373983,-103.9352931,6.915661621,2.7,ml,25,46,0.03834148251,0.2,tx,tx2023rgfs,2023-09-23T06:12:16.040Z,"33 km WSW of Mentone, Texas",earthquake,0.4367698105,0.484274386,0.2,13,reviewed,tx,tx
2023-09-03T15:49:56.409Z,43.9179,-106.93,5,3.3,ml,27,82,1.301,0.89,us,us7000kt1b,2023-11-05T21:27:51.040Z,"32 km NW of Kaycee, Wyoming",earthquake,1.89,1.951,0.047,60,reviewed,us,us
2023-09-04T00:36:36.627Z,44.046,-106.0545,5,2.8,ml,22,117,1.436,0.71,us,us7000kt36,2023-10-05T04:53:07.040Z,"50 km WSW of Antelope Valley-Crestview, Wyoming",earthquake,4.86,1.957,0.059,38,reviewed,us,us
2023-09-04T01:19:29.896Z,31.35762592,-103.0800718,3.81784668,2.8,ml,24,72,0.02197546414,0.2,tx,tx2023rhoj,2023-10-13T00:01:28.040Z,"12 km N of Coyanosa, Texas",earthquake,0.9231601397,1.5575960209999997,0.2,18,reviewed,tx,tx
2023-09-04T01:20:21.504Z,31.36084501,-103.0805919,3.046606445,2.9,ml,24,73,0.02467246733,0.2,tx,tx2023rhok,2023-10-13T00:07:29.040Z,"13 km N of Coyanosa, Texas",earthquake,0.8804698035,1.168409417,0.2,18,reviewed,tx,tx
2023-09-04T02:39:09.967Z,43.0971,-107.7182,11.916,2.6,ml,21,107,0.985,0.57,us,us7000kt3s,2023-10-05T02:20:41.040Z,"35 km ESE of Shoshoni, Wyoming",earthquake,4.9,8.55,0.055,44,reviewed,us,us
2023-09-04T11:41:28.789Z,37.0428,-104.9496,7.74,2.6,ml,14,63,0.155,0.31,us,us7000kt5s,2023-10-13T05:57:45.040Z,"",earthquake,3,3.3,0.071,52,reviewed,us,us
2023-09-04T15:59:03.813Z,31.67983578,-104.5260411,6.388647461,2.7,ml,47,147,0.02430575243,0.2,tx,tx2023rirj,2023-09-06T14:38:35.040Z,"56 km SSW of Whites City, New Mexico",earthquake,0.9136060809999998,0.49961711149999993,0.1,31,reviewed,tx,tx
2023-09-04T17:56:45.270Z,35.1166667,-119.0341667,12.82,3.39,ml,76,25,0.0708,0.26,ci,ci39658306,2023-10-12T12:42:22.040Z,"19 km SW of Lamont, CA",earthquake,0.2,0.67,0.123,102,reviewed,ci,ci
2023-09-04T19:59:59.891Z,31.65367085,-104.4579551,6.799975586,2.6,ml,67,85,0.02224999176,0.3,tx,tx2023rizj,2023-10-05T13:28:52.040Z,"58 km S of Whites City, New Mexico",earthquake,0.9279802486,0.7049778981,0.1,41,reviewed,tx,tx
2023-09-04T23:20:05.039Z,31.66799545,-104.4467889,5.874487305,2.5,ml,31,63,0.0172609427,0.2,tx,tx2023rjfy,2023-10-03T05:09:55.040Z,"",earthquake,0.9365696035,0.5021549433,0.1,19,reviewed,tx,tx
2023-09-05T10:21:41.860Z,40.124,-123.0593333,42.78,2.5,md,53,27,0.09294,0.15,nc,nc73933326,2023-09-06T09:00:39.040Z,"40 km NNE of Covelo, CA",earthquake,0.34,0.56,0.23,55,reviewed,nc,nc
