agency_cd,site_no,datetime,tz_cd,121360_00010,121360_00010_cd,121357_00060,121357_00060_cd,121358_00065,121358_00065_cd,121361_00095,121361_00095_cd,121364_00300,121364_00300_cd,121365_00301,121365_00301_cd,121362_00400,121362_00400_cd,277154_63680,277154_63680_cd
USGS,1467042,2023-09-01 00:00,EDT,21.4,P,23.5,P,3.21,P,667,P,8.1,P,92,P,7.7,P,0.3,P:<
USGS,1467042,2023-09-01 00:15,EDT,21.3,P,24.7,P,3.22,P,668,P,8.1,P,92,P,7.6,P,0.3,P:<
USGS,1467042,2023-09-01 00:30,EDT,21.2,P,23.5,P,3.21,P,668,P,8.0,P,90,P,7.6,P,0.3,P
USGS,1467042,2023-09-01 00:45,EDT,21.2,P,24.7,P,3.22,P,668,P,7.9,P,89,P,7.6,P,0.3,P:<
USGS,1467042,2023-09-01 01:00,EDT,21.1,P,24.7,P,3.22,P,668,P,7.8,P,88,P,7.6,P,0.3,P:<
USGS,1467042,2023-09-01 01:15,EDT,21.0,P,23.5,P,3.21,P,669,P,7.7,P,87,P,7.6,P,0.3,P:<
USGS,1467042,2023-09-01 01:30,EDT,21.0,P,24.7,P,3.22,P,669,P,7.7,P,86,P,7.6,P,0.3,P:<
USGS,1467042,2023-09-01 01:45,EDT,20.9,P,24.7,P,3.22,P,669,P,7.6,P,86,P,7.6,P,0.3,P:<
USGS,1467042,2023-09-01 02:00,EDT,20.8,P,24.7,P,3.22,P,670,P,7.6,P,85,P,7.5,P,0.3,P:<
USGS,1467042,2023-09-01 02:15,EDT,20.8,P,24.7,P,3.22,P,670,P,7.5,P,84,P,7.5,P,0.3,P:<
USGS,1467042,2023-09-01 02:30,EDT,20.7,P,24.7,P,3.22,P,671,P,7.4,P,83,P,7.5,P,0.3,P:<
USGS,1467042,2023-09-01 02:45,EDT,20.6,P,24.7,P,3.22,P,672,P,7.4,P,82,P,7.5,P,0.3,P
USGS,1467042,2023-09-01 03:00,EDT,20.6,P,24.7,P,3.22,P,672,P,7.4,P,82,P,7.5,P,0.3,P:<
USGS,1467042,2023-09-01 03:15,EDT,20.5,P,24.7,P,3.22,P,672,P,7.3,P,82,P,7.5,P,0.3,P:<
USGS,1467042,2023-09-01 03:30,EDT,20.4,P,24.7,P,3.22,P,673,P,7.3,P,81,P,7.5,P,0.3,P:<
USGS,1467042,2023-09-01 03:45,EDT,20.4,P,24.7,P,3.22,P,673,P,7.2,P,80,P,7.5,P,0.3,P:<
USGS,1467042,2023-09-01 04:00,EDT,20.3,P,24.7,P,3.22,P,675,P,7.2,P,79,P,7.5,P,0.3,P
USGS,1467042,2023-09-01 04:15,EDT,20.3,P,24.7,P,3.22,P,675,P,7.1,P,79,P,7.5,P,0.3,P
USGS,1467042,2023-09-01 04:30,EDT,20.2,P,24.7,P,3.22,P,676,P,7.1,P,79,P,7.4,P,0.3,P:<
USGS,1467042,2023-09-01 04:45,EDT,20.2,P,24.7,P,3.22,P,676,P,7.1,P,78,P,7.4,P,0.3,P:<
USGS,1467042,2023-09-01 05:00,EDT,20.1,P,24.7,P,3.22,P,677,P,7.0,P,78,P,7.4,P,0.3,P:<
USGS,1467042,2023-09-01 05:15,EDT,20.0,P,24.7,P,3.22,P,678,P,7.0,P,78,P,7.4,P,0.4,P
USGS,1467042,2023-09-01 05:30,EDT,20.0,P,24.7,P,3.22,P,678,P,7.0,P,78,P,7.4,P,0.3,P:<
USGS,1467042,2023-09-01 05:45,EDT,19.9,P,24.7,P,3.22,P,679,P,7.0,P,77,P,7.4,P,0.3,P:<
USGS,1467042,2023-09-01 06:00,EDT,19.8,P,24.7,P,3.22,P,679,P,7.0,P,77,P,7.4,P,0.3,P:<
USGS,1467042,2023-09-01 06:15,EDT,19.8,P,24.7,P,3.22,P,680,P,7.0,P,77,P,7.4,P,0.3,P:<
USGS,1467042,2023-09-01 06:30,EDT,19.7,P,24.7,P,3.22,P,680,P,7.0,P,76,P,7.4,P,0.3,P:<
USGS,1467042,2023-09-01 06:45,EDT,19.6,P,24.7,P,3.22,P,681,P,7.0,P,76,P,7.4,P,0.3,P:<
USGS,1467042,2023-09-01 07:00,EDT,19.6,P,24.7,P,3.22,P,682,P,6.9,P,76,P,7.4,P,0.3,P
USGS,1467042,2023-09-01 07:15,EDT,19.6,P,24.7,P,3.22,P,682,P,6.9,P,76,P,7.4,P,0.3,P
