Flavor,Calories (kcal),fat (g),sodium (mg),carbohydrates (g),protein (g),base ice cream
Peanut Butter Cup,470,33,180,36,9,peanut butter
Chubby Hubby,460,28,220,35,10,vanilla
Peanut Butter World,460,32,190,37,7,chocolate
Oat of This Swirled,420,26,150,41,5,vanilla
Everything But The...,420,26,90,40,7,chocolate
Gimmie S'more,410,24,180,45,6,vanilla
New York Super Fudge Chunk,410,26,70,39,7,chocolate
Chunky Monkey,400,25,50,41,6,vanilla
The Tonight Dough,400,22,135,47,6,vanilla
Urban Bourbon,400,22,95,44,7,caramal
