time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-07T04:39:00.621Z,47.0315,-76.2258,10,3.3,mb_lg,16,113,1.412,0.43,us,us7000majq,2024-04-08T03:18:08.140Z,"61 km NNW of Saint-Boniface, Canada",earthquake,4.58,1.987,0.054,92,reviewed,us,us
2024-04-05T21:59:13.778Z,40.6854,-74.7348,8.518,3.8,mwr,33,107,0.65,0.43,us,us7000mab9,2024-04-10T08:44:31.586Z,"7 km SW of Gladstone, New Jersey",earthquake,0.96,7.63,0.071,19,reviewed,us,us
2024-04-05T14:23:20.309Z,40.689,-74.754,4.7,4.8,mwr,233,54,0.642,0.66,us,us7000ma74,2024-04-10T10:34:14.205Z,"2024 Whitehouse Station, New Jersey Earthquake",earthquake,2.02,1.84,0.027,130,reviewed,us,us
2024-03-30T08:42:40.005Z,40.8966,-81.0503,5.887,3,mb_lg,16,52,0.185,0.2,us,us7000m8wh,2024-04-05T16:10:27.481Z,"2 km S of Maple Ridge, Ohio",earthquake,1.16,4.04,0.052,98,reviewed,us,us
2024-02-08T03:48:06.519Z,28.554,-78.8645,7.991,4,mb,56,121,2.011,0.73,us,us7000lxp2,2024-03-09T02:17:29.988Z,"171 km E of Cape Canaveral, Florida",earthquake,6.35,8.035,0.299,3,reviewed,us,us
2024-02-01T12:37:19.663Z,45.1027,-74.2494,8.17,3.2,mb_lg,21,86,0.538,0.36,us,us7000lvtq,2024-03-13T11:55:03.040Z,"6 km WNW of Huntingdon, Canada",earthquake,4.11,3.973,0.061,71,reviewed,us,us
2024-01-13T02:22:25.348Z,42.5042,-65.9881,10,3.2,ml,16,224,2.447,0.58,us,us6000m4dx,2024-03-16T18:59:24.040Z,"148 km S of Yarmouth, Canada",earthquake,6.38,2.011,0.056,42,reviewed,us,us
2023-12-30T09:24:48.843Z,45.9704,-75.2458,9.428,3.2,mb_lg,39,89,0.543,0.37,us,us6000m0l5,2024-03-02T21:39:33.040Z,"13 km WSW of Notre-Dame-du-Mont-Carmel, Canada",earthquake,3.69,10.557,0.056,83,reviewed,us,us
2023-12-27T17:46:56.360Z,35.7716666666667,-90.1908333333333,11.2,3.8,mw,80,58,0.03771,0.19,nm,nm60563441,2024-03-02T21:39:32.040Z,"6 km NE of Etowah, Arkansas",earthquake,0.26,0.37,,0,reviewed,nm,nm
2023-12-18T04:10:33.370Z,38.2325,-89.0951666666667,16.71,3.07,md,49,51,0.5258,0.25,nm,nm60562761,2024-03-29T01:12:08.150Z,"5 km WNW of Waltonville, Illinois",earthquake,0.32,0.53,0.195899048705384,26,reviewed,nm,nm
2023-12-17T20:19:14.288Z,47.2078,-76.6533,9.892,4,mb,38,70,1.234,0.66,us,us7000ljqr,2024-02-27T22:57:00.040Z,"93 km NNW of Saint-Boniface, Canada",earthquake,2.53,6.309,0.125,19,reviewed,us,us
2023-11-19T02:33:54.428Z,48.598,-69.1172,9.96,3,ml,10,165,1.327,0.32,us,us6000lq0q,2024-02-01T15:13:42.040Z,"15 km S of Forestville, Canada",earthquake,2.36,7.473,0.069,28,reviewed,us,us
2023-11-15T10:41:55.916Z,41.2402,-89.1858,5.688,3.6,mb_lg,64,28,0.689,0.45,us,us6000lnhy,2024-01-26T16:37:43.040Z,"1 km SSW of Standard, Illinois",earthquake,1.61,6.992,0.038,180,reviewed,us,us
2023-10-21T02:59:33.580Z,36.1868333333333,-89.4516666666667,11.26,3.26,md,77,34,0.04368,0.16,nm,nm60556241,2023-12-26T21:24:50.040Z,"9 km SSE of Ridgely, Tennessee",earthquake,0.18,0.31,0.159978137201974,44,reviewed,nm,nm
2023-08-28T02:43:26.223Z,41.7313,-80.972,5,3.6,mwr,86,47,0.829,0.71,us,us7000krer,2023-11-04T21:35:38.040Z,"7 km SE of Madison, Ohio",earthquake,4.46,1.862,0.041,58,reviewed,us,us
2023-06-05T04:16:14.474Z,28.4777,-88.0417,5,3.3,ml,66,117,2.817,0.69,us,us7000k6cb,2023-08-12T17:15:03.040Z,"155 km SE of Venice, Louisiana",earthquake,5.61,1.969,0.077,22,reviewed,us,us
2023-06-04T10:09:35.150Z,35.5796666666667,-82.8723333333333,0.1,3.24,md,28,43,0.102,0.3,se,se60500788,2023-08-12T17:15:02.040Z,"4 km NNW of West Canton, North Carolina",earthquake,0.52,1.93,0.0542955152368947,21,reviewed,se,se
2023-05-30T02:45:20.910Z,37.5391666666667,-87.3303333333333,0.45,3.03,md,23,105,0.1234,0.3,nm,nm60500758,2023-08-05T22:07:39.040Z,"6 km W of Calhoun, Kentucky",earthquake,0.8,1.59,0.131469903633767,12,reviewed,nm,nm
2023-04-24T22:16:17.744Z,47.1382,-76.1399,9.813,3.4,mb_lg,25,119,1.43,0.39,us,us7000jvnf,2024-01-18T19:51:38.712Z,"71 km NW of Ferme-Neuve, Canada",earthquake,4.43,7.379,0.059,77,reviewed,us,us
2023-04-23T18:10:08.198Z,43.8635,-76.0202,8.68,3.6,mwr,63,38,0.454,0.5,us,us6000k6kx,2024-04-05T14:54:40.551Z,"New York",earthquake,2.55,4.258,0.046,45,reviewed,us,us
