Geography,Date,Weekly Deaths,Death Data As Of
United States,2024-09-07,534,2024-09-12
United States,2024-08-31,953,2024-09-12
United States,2024-08-24,1036,2024-09-12
United States,2024-08-17,998,2024-09-12
United States,2024-08-10,998,2024-09-12
United States,2024-08-03,902,2024-09-12
United States,2024-07-27,759,2024-09-12
United States,2024-07-20,621,2024-09-12
United States,2024-07-13,511,2024-09-12
United States,2024-07-06,472,2024-09-12
United States,2024-06-29,423,2024-09-12
United States,2024-06-22,421,2024-09-12
United States,2024-06-15,361,2024-09-12
United States,2024-06-08,309,2024-09-12
United States,2024-06-01,323,2024-09-12
United States,2024-05-25,342,2024-09-12
United States,2024-05-18,337,2024-09-12
United States,2024-05-11,333,2024-09-12
United States,2024-05-04,422,2024-09-12
United States,2024-04-27,426,2024-09-12
United States,2024-04-20,495,2024-09-12
United States,2024-04-13,563,2024-09-12
United States,2024-04-06,631,2024-09-12
United States,2024-03-30,735,2024-09-12
United States,2024-03-23,845,2024-09-12
United States,2024-03-16,1037,2024-09-12
United States,2024-03-09,1099,2024-09-12
United States,2024-03-02,1265,2024-09-12
United States,2024-02-24,1322,2024-09-12
United States,2024-02-17,1387,2024-09-12
United States,2024-02-10,1614,2024-09-12
United States,2024-02-03,1738,2024-09-12
United States,2024-01-27,2132,2024-09-12
United States,2024-01-20,2360,2024-09-12
United States,2024-01-13,2579,2024-09-12
United States,2024-01-06,2491,2024-09-12
United States,2023-12-30,2229,2024-09-12
United States,2023-12-23,1935,2024-09-12
United States,2023-12-16,1844,2024-09-12
United States,2023-12-09,1792,2024-09-12
United States,2023-12-02,1731,2024-09-12
United States,2023-11-25,1423,2024-09-12
United States,2023-11-18,1431,2024-09-12
United States,2023-11-11,1392,2024-09-12
United States,2023-11-04,1246,2024-09-12
United States,2023-10-28,1291,2024-09-12
United States,2023-10-21,1392,2024-09-12
United States,2023-10-14,1315,2024-09-12
United States,2023-10-07,1398,2024-09-12
United States,2023-09-30,1456,2024-09-12
United States,2023-09-23,1416,2024-09-12
United States,2023-09-16,1410,2024-09-12
United States,2023-09-09,1313,2024-09-12
United States,2023-09-02,1188,2024-09-12
United States,2023-08-26,1067,2024-09-12
United States,2023-08-19,921,2024-09-12
United States,2023-08-12,752,2024-09-12
United States,2023-08-05,672,2024-09-12
United States,2023-07-29,553,2024-09-12
United States,2023-07-22,540,2024-09-12
