Week,Chemistry: (United States),Biology: (United States),Nobel Prize: (United States)
2023-01-01,47,24,3
2023-01-08,68,36,4
2023-01-15,67,36,4
2023-01-22,77,39,4
2023-01-29,78,40,4
2023-02-05,83,44,4
2023-02-12,100,39,4
2023-02-19,77,35,4
2023-02-26,81,39,5
2023-03-05,77,39,4
2023-03-12,66,32,4
2023-03-19,75,38,4
2023-03-26,77,39,3
2023-04-02,61,36,3
2023-04-09,70,37,4
2023-04-16,74,41,3
2023-04-23,77,43,3
2023-04-30,79,43,3
2023-05-07,70,47,4
2023-05-14,68,40,3
2023-05-21,60,34,3
2023-05-28,51,26,2
2023-06-04,51,25,2
2023-06-11,48,21,2
2023-06-18,42,18,2
2023-06-25,41,18,3
2023-07-02,36,17,2
2023-07-09,40,18,2
2023-07-16,41,18,3
2023-07-23,38,19,3
2023-07-30,36,19,3
2023-08-06,41,22,3
2023-08-13,48,27,3
2023-08-20,64,36,3
2023-08-27,75,42,3
2023-09-03,78,42,3
2023-09-10,91,48,3
2023-09-17,89,45,4
2023-09-24,88,44,4
2023-10-01,90,43,17
2023-10-08,84,39,7
2023-10-15,84,46,5
2023-10-22,85,45,4
2023-10-29,84,45,4
2023-11-05,88,43,4
2023-11-12,86,43,3
2023-11-19,45,24,3
2023-11-26,82,43,5
2023-12-03,77,44,4
2023-12-10,65,41,4
2023-12-17,36,26,3
2023-12-24,16,12,2
2023-12-31,26,22,3
