Category: All categories

Week,Chemistry: (United States),Biology: (United States),Nobel Prize: (United States)
2019-02-03,42,40,4
2019-02-10,42,38,5
2019-02-17,36,33,6
2019-02-24,39,37,5
2019-03-03,39,37,4
2019-03-10,33,31,4
2019-03-17,34,32,4
2019-03-24,35,33,3
2019-03-31,37,36,3
2019-04-07,38,36,3
2019-04-14,35,29,3
2019-04-21,37,35,3
2019-04-28,43,42,3
2019-05-05,46,40,3
2019-05-12,38,36,6
2019-05-19,35,28,4
2019-05-26,29,24,3
2019-06-02,30,23,2
2019-06-09,27,21,2
2019-06-16,22,18,3
2019-06-23,24,17,2
2019-06-30,17,15,2
2019-07-07,19,16,2
2019-07-14,19,17,3
2019-07-21,17,16,2
2019-07-28,17,15,2
2019-08-04,18,18,2
2019-08-11,26,22,2
2019-08-18,33,31,2
2019-08-25,39,38,2
2019-09-01,37,34,2
2019-09-08,46,41,3
2019-09-15,44,41,3
2019-09-22,43,40,5
2019-09-29,42,38,4
2019-10-06,40,35,18
2019-10-13,36,33,9
2019-10-20,40,36,5
2019-10-27,36,35,3
2019-11-03,39,36,3
2019-11-10,36,34,4
2019-11-17,38,36,3
2019-11-24,23,18,3
2019-12-01,37,34,3
2019-12-08,38,37,5
2019-12-15,31,30,3
2019-12-22,10,9,2
2019-12-29,12,13,3
2020-01-05,29,29,4
2020-01-12,35,35,4
2020-01-19,36,36,4
2020-01-26,40,40,4
2020-02-02,39,38,4
2020-02-09,37,38,4
2020-02-16,35,33,4
2020-02-23,35,39,4
2020-03-01,37,36,4
2020-03-08,28,31,3
2020-03-15,22,22,3
2020-03-22,27,26,4
2020-03-29,33,32,3
2020-04-05,40,31,3
2020-04-12,39,32,3
2020-04-19,44,33,4
2020-04-26,43,33,6
2020-05-03,43,33,3
2020-05-10,41,32,3
2020-05-17,31,29,3
2020-05-24,25,20,3
2020-05-31,25,20,3
2020-06-07,24,19,2
2020-06-14,20,17,3
2020-06-21,19,17,3
2020-06-28,19,16,2
2020-07-05,19,16,2
2020-07-12,20,16,2
2020-07-19,19,15,3
2020-07-26,19,16,3
2020-08-02,19,17,2
2020-08-09,21,19,3
2020-08-16,35,29,2
2020-08-23,71,36,3
2020-08-30,78,40,3
2020-09-06,84,45,30
2020-09-13,99,51,10
2020-09-20,95,45,6
2020-09-27,81,40,9
2020-10-04,85,38,22
2020-10-11,72,29,10
2020-10-18,70,29,6
2020-10-25,65,28,5
2020-11-01,51,24,4
2020-11-08,57,26,4
2020-11-15,64,29,3
2020-11-22,36,17,3
2020-11-29,54,27,3
2020-12-06,56,26,4
2020-12-13,50,24,3
2020-12-20,25,11,3
2020-12-27,21,9,3
2021-01-03,40,20,3
2021-01-10,49,23,4
2021-01-17,49,25,4
2021-01-24,59,28,5
2021-01-31,59,30,9
2021-02-07,57,28,4
2021-02-14,50,24,3
2021-02-21,58,28,3
2021-02-28,58,30,3
2021-03-07,56,26,4
2021-03-14,48,25,3
2021-03-21,49,24,3
2021-03-28,46,21,2
2021-04-04,47,24,3
2021-04-11,32,26,3
2021-04-18,21,27,3
2021-04-25,20,27,3
2021-05-02,21,26,3
2021-05-09,20,26,3
2021-05-16,19,23,3
2021-05-23,19,21,3
2021-05-30,16,17,3
2021-06-06,15,18,2
2021-06-13,13,16,2
2021-06-20,12,16,2
2021-06-27,12,14,2
2021-07-04,11,14,2
2021-07-11,12,15,2
2021-07-18,11,15,2
2021-07-25,11,14,2
2021-08-01,11,15,2
2021-08-08,12,16,2
2021-08-15,17,20,3
2021-08-22,23,28,3
2021-08-29,26,28,4
2021-09-05,26,29,5
2021-09-12,32,34,3
2021-09-19,61,32,3
2021-09-26,63,31,3
2021-10-03,60,29,12
2021-10-10,57,28,7
2021-10-17,62,29,4
2021-10-24,60,29,3
2021-10-31,59,28,4
2021-11-07,58,28,3
2021-11-14,62,28,3
2021-11-21,33,16,2
2021-11-28,54,27,3
2021-12-05,57,29,3
2021-12-12,59,24,3
2021-12-19,27,11,2
2021-12-26,22,11,2
2022-01-02,41,22,3
2022-01-09,51,26,3
2022-01-16,55,25,3
2022-01-23,65,34,3
2022-01-30,60,32,4
2022-02-06,69,34,4
2022-02-13,70,35,4
2022-02-20,63,32,4
2022-02-27,69,35,4
2022-03-06,64,34,4
2022-03-13,61,31,4
2022-03-20,67,34,4
2022-03-27,71,42,4
2022-04-03,75,43,4
2022-04-10,67,35,4
2022-04-17,74,39,4
2022-04-24,82,42,4
2022-05-01,61,43,4
2022-05-08,57,47,4
2022-05-15,54,35,3
2022-05-22,44,26,3
2022-05-29,44,21,2
2022-06-05,45,23,2
2022-06-12,43,21,2
2022-06-19,38,19,3
2022-06-26,37,19,3
2022-07-03,34,17,2
2022-07-10,37,21,2
2022-07-17,35,19,2
2022-07-24,34,19,2
2022-07-31,39,19,2
2022-08-07,42,23,2
2022-08-14,50,27,2
2022-08-21,66,35,2
2022-08-28,75,41,3
2022-09-04,76,39,3
2022-09-11,87,48,3
2022-09-18,85,43,3
2022-09-25,83,45,3
2022-10-02,88,41,14
2022-10-09,75,39,8
2022-10-16,85,41,5
2022-10-23,81,42,4
2022-10-30,89,42,4
2022-11-06,74,37,4
2022-11-13,80,39,4
2022-11-20,44,21,3
2022-11-27,76,38,4
2022-12-04,80,42,4
2022-12-11,77,40,4
2022-12-18,41,22,2
2022-12-25,26,13,3
2023-01-01,47,24,3
2023-01-08,68,36,4
2023-01-15,67,36,4
2023-01-22,77,39,4
2023-01-29,78,40,4
2023-02-05,83,44,4
2023-02-12,100,39,4
2023-02-19,77,35,4
2023-02-26,81,39,5
2023-03-05,77,39,4
2023-03-12,66,32,4
2023-03-19,75,38,4
2023-03-26,77,39,3
2023-04-02,61,36,3
2023-04-09,70,37,4
2023-04-16,74,41,3
2023-04-23,77,43,3
2023-04-30,79,43,3
2023-05-07,70,47,4
2023-05-14,68,40,3
2023-05-21,60,34,3
2023-05-28,51,26,2
2023-06-04,51,25,2
2023-06-11,48,21,2
2023-06-18,42,18,2
2023-06-25,41,18,3
2023-07-02,36,17,2
2023-07-09,40,18,2
2023-07-16,41,18,3
2023-07-23,38,19,3
2023-07-30,36,19,3
2023-08-06,41,22,3
2023-08-13,48,27,3
2023-08-20,64,36,3
2023-08-27,75,42,3
2023-09-03,78,42,3
2023-09-10,91,48,3
2023-09-17,89,45,4
2023-09-24,88,44,4
2023-10-01,90,43,17
2023-10-08,84,39,7
2023-10-15,84,46,5
2023-10-22,85,45,4
2023-10-29,84,45,4
2023-11-05,88,43,4
2023-11-12,86,43,3
2023-11-19,45,24,3
2023-11-26,82,43,5
2023-12-03,77,44,4
2023-12-10,65,41,4
2023-12-17,36,26,3
2023-12-24,16,12,2
2023-12-31,26,22,3
2024-01-07,45,36,4
2024-01-14,46,34,4
2024-01-21,62,44,4
