Total 2010 Population,zip code
18570,00601
41520,00602
54689,00603
6615,00606
29016,00610
67010,00612
11017,00616
24597,00617
7853,00622
43061,00623
26241,00624
35159,00627
1852,00631
25287,00637
18941,00638
31191,00641
38199,00646
6172,00647
14998,00650
4715,00652
13307,00653
21481,00656
41953,00659
17250,00660
43282,00662
16784,00664
25968,00667
29744,00669
9807,00670
44457,00674
40316,00676
15272,00677
27819,00678
58140,00680
32615,00682
33772,00683
42831,00685
32610,00687
13543,00688
6255,00690
37511,00692
61038,00693
328,00694
41782,00698
28605,00703
8577,00704
25598,00705
12225,00707
19566,00714
3656,00715
33779,00716
18457,00717
26606,00718
30990,00719
23129,00720
19277,00723
89374,00725
58382,00727
44908,00728
53750,00729
35742,00730
15524,00731
13730,00735
51532,00736
34922,00738
39678,00739
2071,00740
4971,00741
55062,00745
23129,00751
40828,00754
23263,00757
9098,00765
26488,00766
38019,00767
40248,00769
38394,00771
23105,00772
20068,00773
1786,00775
40684,00777
45429,00778
13800,00780
19304,00782
36557,00783
44637,00784
357,00786
53417,00791
30585,00794
48736,00795
7080,00901
4,00906
17458,00907
6230,00909
8623,00911
6801,00912
9312,00913
32820,00915
21053,00917
18056,00918
17893,00920
37763,00921
29086,00923
56691,00924
8696,00925
108862,00926
14936,00927
288,00934
681,00936
82278,00949
9,00950
35,00951
10008,00952
73014,00953
79304,00956
45680,00957
50560,00959
1779,00960
32429,00961
22491,00962
9134,00965
16676,00966
3478,00968
42219,00969
30986,00971
65136,00976
17030,00979
16428,00982
39234,00983
36553,00985
63661,00987
16769,01001
29049,01002
10372,01003
5079,01005
14649,01007
1263,01008
741,01009
3609,01010
1370,01011
661,01012
23188,01013
29668,01020
2451,01022
946,01026
17660,01027
15720,01028
789,01029
11669,01030
1308,01031
570,01032
6227,01033
2021,01034
5250,01035
5109,01036
838,01037
2545,01038
1336,01039
39880,01040
2530,01050
1685,01053
1851,01054
21103,01056
8534,01057
15284,01060
11150,01062
430,01063
64,01066
1902,01068
8469,01069
629,01070
1596,01071
1478,01072
5792,01073
319,01074
17527,01075
9502,01077
692,01079
2334,01080
1698,01081
10322,01082
2888,01083
176,01084
41117,01085
687,01086
670,01088
28391,01089
1394,01092
325,01093
351,01094
14319,01095
2217,01096
111,01097
1101,01098
2479,01103
22865,01104
12350,01105
16021,01106
11611,01107
26688,01108
30250,01109
14071,01118
14152,01119
2631,01128
7019,01129
8698,01151
0,01199
46504,01201
8603,01220
829,01222
2314,01223
182,01224
3117,01225
6945,01226
95,01229
8430,01230
2766,01235
1509,01236
2496,01237
6047,01238
4534,01240
476,01242
334,01243
151,01244
985,01245
16087,01247
731,01253
972,01254
915,01255
692,01256
2121,01257
374,01258
635,01259
240,01260
1238,01262
137,01264
1463,01266
7989,01267
778,01270
17700,01301
1506,01330
13263,01331
2596,01337
187,01338
1438,01339
1701,01340
1833,01341
1492,01342
75,01343
1498,01344
533,01346
166,01347
1091,01349
121,01350
2270,01351
1500,01354
878,01355
3032,01360
7969,01364
1277,01366
522,01367
1261,01368
4084,01370
4600,01373
3684,01375
5247,01376
774,01378
813,01379
40337,01420
6089,01430
3074,01431
7089,01432
1795,01434
3336,01436
559,01438
20347,01440
10646,01450
4747,01451
4382,01452
40883,01453
8924,01460
10086,01462
11497,01463
7211,01464
316,01467
4021,01468
6801,01469
7277,01473
2125,01474
10270,01475
16075,01501
2866,01503
9026,01504
4355,01505
3390,01506
12981,01507
13606,01510
2183,01515
8500,01516
2974,01518
6595,01519
13997,01520
2481,01521
3310,01522
7582,01523
6696,01524
290,01525
13246,01527
3190,01529
999,01531
14155,01532
5631,01534
4680,01535
6888,01536
2248,01537
11291,01540
3413,01541
2202,01542
7973,01543
35299,01545
16719,01550
4527,01560
330,01561
11688,01562
7808,01564
6294,01566
7480,01568
13569,01569
16767,01570
11390,01571
18272,01581
7591,01583
4554,01585
9733,01588
8875,01590
22819,01602
19916,01603
34677,01604
26221,01605
19077,01606
8351,01607
3888,01608
22421,01609
23945,01610
2242,01611
4845,01612
31217,01701
37206,01702
469,01718
4996,01719
21361,01720
16593,01721
13221,01730
1396,01731
4897,01740
4852,01741
17726,01742
397,01745
13547,01746
5911,01747
14925,01748
19063,01749
38499,01752
10106,01754
5839,01756
28061,01757
32786,01760
4119,01770
9370,01772
5112,01773
6590,01775
17659,01776
13109,01778
38903,01801
24487,01803
33201,01810
30310,01821
24911,01824
29422,01826
3179,01827
25137,01830
22060,01832
8183,01833
6459,01834
13682,01835
4733,01840
47225,01841
24425,01843
47249,01844
28352,01845
15237,01850
30190,01851
33508,01852
27606,01854
6338,01860
10227,01862
8891,01863
14892,01864
23956,01867
28667,01876
11305,01879
24733,01880
21951,01886
22325,01887
21382,01890
1689,01901
45139,01902
18203,01904
25251,01905
26660,01906
14027,01907
3410,01908
16283,01913
39502,01915
7961,01921
3108,01922
26342,01923
3504,01929
28789,01930
151,01937
13175,01938
12108,01940
5136,01944
19808,01945
8987,01949
17416,01950
