time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1925-10-09T13:55:00.000Z,43.7,-71.1,,4,fa,,,,,ushis,ushis732,2018-06-04T20:43:44.000Z,"2 km NE of Ossipee, New Hampshire",earthquake,,,,,reviewed,ushis,sc
1926-11-05T16:53:00.000Z,39.1,-82.1,,3.8,fa,,,,,ushis,ushis753,2018-06-04T20:43:44.000Z,"6 km NNE of Rutland, Ohio",earthquake,,,,,reviewed,ushis,sc
1928-03-18T15:20:00.000Z,44.5,-74.3,,4.1,ml,,,,,ushis,ushis781,2018-06-04T20:43:44.000Z,"7 km NNW of Paul Smiths, New York",earthquake,,,,,reviewed,ushis,epb
1928-11-03T04:02:49.800Z,36.112,-82.828,5,4.5,lg,,,,,ushis,ushis794,2018-06-04T20:43:44.000Z,"5 km S of Greeneville, Tennessee",earthquake,,,,,reviewed,ushis,dg
1929-08-12T11:24:48.700Z,42.91,-78.402,9,4.7,mw,,,,,ushis,ushis814,2018-06-04T20:43:44.000Z,"5 km S of Corfu, New York",earthquake,,,,,reviewed,ushis,st
1929-12-26T02:56:00.000Z,38.1,-78.5,,3.7,fa,,,,,ushis,ushis830,2018-06-04T20:43:44.000Z,"5 km WSW of Hollymead, Virginia",earthquake,,,,,reviewed,ushis,sc
1930-09-30T20:40:00.000Z,40.3,-84.3,,4.2,fa,,,,,ushis,ushis852,2018-06-04T20:43:44.000Z,"5 km E of Newport, Ohio",earthquake,,,,,reviewed,ushis,bar
1931-04-20T19:54:30.600Z,43.471,-73.785,5,4.7,lg,,,,,ushis,ushis870,2018-06-04T20:43:44.000Z,"2 km SSW of Warrensburg, New York",earthquake,,,,,reviewed,ushis,st
1931-09-20T23:05:03.400Z,40.429,-84.27,5,4.7,fa,,,,,ushis,ushis881,2018-06-04T20:43:44.000Z,"1 km SSW of Kettlersville, Ohio",earthquake,,,,,reviewed,ushis,sc
1934-04-15T02:58:13.000Z,44.7,-73.8,,4.5,ml,,,,,ushis,ushis1055,2018-06-04T20:43:44.000Z,"6 km WSW of Dannemora, New York",earthquake,,,,,reviewed,ushis,epb
1937-03-02T14:47:33.300Z,40.488,-84.273,2,5,fa,,,,,ushis,ushis1163,2018-06-04T20:43:44.000Z,"3 km E of New Knoxville, Ohio",earthquake,,,,,reviewed,ushis,sc
1937-03-09T05:44:35.500Z,40.47,-84.28,3,5.4,fa,,,,,ushis,ushis1166,2018-06-04T20:43:44.000Z,"3 km NNW of Kettlersville, Ohio",earthquake,,,,,reviewed,ushis,sc
1938-07-15T22:46:12.000Z,40.37,-78.23,,3.3,fa,,,,,ushis,ushis1202,2018-06-04T20:43:44.000Z,"5 km WSW of Marklesburg, Pennsylvania",earthquake,,,,,reviewed,ushis,dg
1940-12-20T07:27:26.200Z,43.872,-71.37,10,5.26,mw,,,,,ushis,ushis1343,2018-06-04T20:43:44.000Z,"8 km W of Tamworth, New Hampshire",earthquake,,,,,reviewed,ushis,st
1940-12-24T13:43:45.000Z,43.908,-71.283,8,5.61,mw,,,,,ushis,ushis1346,2018-06-04T20:43:44.000Z,"5 km NNW of Tamworth, New Hampshire",earthquake,,,,,reviewed,ushis,esm
1943-03-09T03:25:24.900Z,41.628,-81.309,7,4.5,lg,,,,,ushis,ushis1440,2018-06-04T20:43:44.000Z,"0 km NNW of Kirtland Hills, Ohio",earthquake,,,,,reviewed,ushis,bas
1944-09-05T04:38:46.210Z,44.945,-74.746,15,5.74,mw,,,,,iscgem,iscgem899531,2022-04-26T19:07:28.559Z,"8 km S of Cornwall, Canada",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1944-09-05T08:51:06.000Z,44.999,-74.652,1,4.5,lg,,,,,ushis,ushis1480,2018-06-04T20:43:44.000Z,"6 km ESE of Cornwall, Canada",earthquake,,,,,reviewed,ushis,bas
1952-06-20T09:38:08.600Z,39.64,-82.023,9,4,fa,,,,,ushis,ushis1784,2018-06-04T20:43:44.000Z,"6 km ENE of Rendville, Ohio",earthquake,,,,,reviewed,ushis,sc
