SiteCode,X_dec_deg,Y_dec_deg,km downstream,Cl (mg/L),NO3-N (mg/L),SO4 (mg/L)
PP1-1,-75.15553,40.177825,0.93,52.77,1.18,19.53
PP1-2,-75.1419983,40.1791,2.18,80.05,1.30,23.34
PP1-3,-75.1339035,40.1799011,2.96,87.15,1.19,23.09
PP1-4,-75.1278,40.1785011,3.56,116.08,1.30,23.14
PP1-5,-75.1219025,40.1773987,4.12,114.89,1.17,21.91
PP1-6,-75.1164017,40.1769981,4.75,120.32,1.17,21.96
PP1-7,-75.1108017,40.172699,5.62,157.79,1.22,22.15
PP1-8,-75.1064987,40.1664009,6.5,159.72,1.21,22.36
PP1-9,-75.106102,40.1595993,7.37,280.60,1.06,22.87
PP1-10,-75.0995026,40.1580009,8.06,232.06,6.81,27.09
PP1-11,-75.0902023,40.1561012,8.99,258.57,5.81,27.10
PP1-12,-75.0803986,40.1567993,9.98,227.29,5.04,24.53
PP1-13,-75.0768967,40.1544991,10.4,256.23,5.74,26.95
PP1-14,-75.075945,40.151227,11.02,237.80,5.39,27.09
PP2-1,-75.0766983,40.1453018,11.63,218.47,6.12,26.73
PP2-2,-75.0742035,40.1399994,12.39,225.52,6.13,27.17
PP2-3,-75.0718002,40.1346016,13.18,201.00,5.44,25.04
PP2-4,-75.071701,40.1297989,13.94,227.23,5.86,26.79
PP2-5,-75.0733032,40.1254997,14.46,215.65,5.38,25.80
PP2-6,-75.0726013,40.1211014,15.02,204.15,4.83,25.14
PP2-7,-75.0698013,40.1181984,15.45,222.10,5.01,26.54
PP2-8,-75.072403,40.1127014,16.65,190.94,4.01,26.11
PP2-9,-75.0735016,40.1085014,17.24,179.55,3.83,24.86
PP3-1,-75.0734024,40.1044006,17.7,199.87,3.97,26.72
PP3-2,-75.071701,40.0988007,18.46,194.36,3.77,26.06
PP3-3,-75.0695038,40.0904007,19.52,157.44,2.98,22.15
PP3-4,-75.066597,40.0861015,20.14,185.88,3.53,25.16
PP3-5,-75.0597992,40.0886002,21.01,165.12,3.12,23.13
PP3-6,-75.0597,40.0853996,21.41,181.88,3.48,25.01
PP3-7,-75.0591965,40.0806007,22.16,190.15,3.67,26.04
PP3-8,-75.063797,40.0750008,23.03,189.20,3.81,25.94
PP3-9,-75.0544968,40.0758018,24.12,165.97,3.43,23.62
PP4-1,-75.0442963,40.0764008,25.25,187.97,3.90,25.48
PP4-2,-75.0430984,40.0702019,26.15,182.28,3.67,24.68
PP4-3,-75.0379028,40.0639992,27.12,190.34,3.52,25.08
PP4-4,-75.0363007,40.0577011,27.89,135.53,2.37,19.20
PP4-5,-75.0390015,40.0527992,28.48,176.34,2.92,23.10
PP4-6,-75.0373001,40.0472984,29.22,213.42,3.36,26.44
PP4-7,-75.0319977,40.0502014,30.09,204.34,3.03,25.35
