"SUNA (in WTP ""plume"" in stream)",,,,
Date,Nitrate (mg/l as N),SUNA Temp,,
4/28/15 13:00,3.0113,17.313,,
4/28/15 14:00,3.603,14.391,,
4/28/15 15:00,2.5637,14.813,,
4/28/15 16:00,3.0464,15.125,,
4/28/15 17:00,3.3315,15.188,,
4/28/15 18:00,3.9179,15.25,,
4/28/15 19:00,4.0458,15.219,,
4/28/15 20:00,4.7193,15.156,,
4/28/15 21:00,5.0373,15.063,,
4/28/15 22:00,4.429,14.891,,
4/28/15 23:00,3.4204,14.641,,
4/29/15 0:00,1.392,14.219,,
4/29/15 1:00,1.0911,13.813,,
4/29/15 2:00,0.96675,13.5,,
4/29/15 3:00,0.96466,13.188,,
4/29/15 4:00,0.97318,12.891,,
4/29/15 5:00,0.98219,12.625,,
4/29/15 6:00,1.5308,12.422,,
4/29/15 7:00,3.782,13.234,,
4/29/15 8:00,4.6725,13.469,,
4/29/15 9:00,4.1129,13.547,,
4/29/15 10:00,3.4875,13.734,,
4/29/15 11:00,3.7314,14.25,,
4/29/15 12:00,3.4752,14.625,,
4/29/15 13:00,3.1838,15.438,,
4/29/15 14:00,3.6867,16.109,,
4/29/15 15:00,3.7254,16.625,,
4/29/15 16:00,2.8349,16.891,,
4/29/15 17:00,4.0883,17,,
4/29/15 18:00,4.4574,17,,
4/29/15 19:00,4.9012,16.969,,
4/29/15 20:00,5.3527,16.906,,
4/29/15 21:00,5.0254,16.781,,
4/29/15 22:00,4.9862,16.641,,
4/29/15 23:00,3.7803,16.422,,
4/30/15 0:00,1.9349,16.125,,
4/30/15 1:00,1.1143,15.813,,
4/30/15 2:00,0.96486,15.438,,
4/30/15 3:00,0.9602,15.125,,
4/30/15 4:00,0.92435,14.75,,
4/30/15 5:00,0.93684,14.375,,
4/30/15 6:00,1.1238,14.109,,
4/30/15 7:00,4.4119,14.5,,
4/30/15 8:00,5.1615,14.641,,
4/30/15 9:00,4.7942,14.656,,
4/30/15 10:00,4.554,14.813,,
4/30/15 11:00,4.204,15.25,,
4/30/15 12:00,4.0655,15.781,,
4/30/15 13:00,3.2613,16.375,,
4/30/15 14:00,3.8449,16.75,,
4/30/15 15:00,4.0152,17.203,,
4/30/15 16:00,4.2692,17.391,,
4/30/15 17:00,4.7616,17.313,,
4/30/15 18:00,4.4169,17.172,,
4/30/15 19:00,5.8085,17,,
4/30/15 20:00,5.3954,16.828,,
4/30/15 21:00,5.8756,16.641,,
4/30/15 22:00,5.582,16.438,,
4/30/15 23:00,4.2167,16.188,,
5/1/15 0:00,1.589,15.875,,
5/1/15 1:00,1.0037,15.578,,
5/1/15 2:00,0.91196,15.281,,
5/1/15 3:00,0.89772,14.938,,
5/1/15 4:00,0.93752,14.625,,
5/1/15 5:00,0.9095,14.313,,
5/1/15 6:00,1.6986,14.016,,
5/1/15 7:00,4.2696,14.344,,
5/1/15 8:00,4.984,14.438,,
5/1/15 9:00,4.298,14.313,,
5/1/15 10:00,4.3429,14.375,,
5/1/15 11:00,3.5293,14.516,,
5/1/15 12:00,3.9473,14.703,,
5/1/15 13:00,3.714,14.953,,
5/1/15 14:00,3.8296,15.281,,
5/1/15 15:00,4.1051,15.547,,
5/1/15 16:00,2.7026,15.688,,
5/1/15 17:00,4.2377,15.656,,
5/1/15 18:00,3.9982,15.609,,
5/1/15 19:00,4.583,15.547,,
5/1/15 20:00,5.7186,15.438,,
5/1/15 21:00,5.1646,15.313,,
5/1/15 22:00,4.6285,15.188,,
5/1/15 23:00,3.3728,14.969,,
5/2/15 0:00,2.8863,14.75,,
5/2/15 1:00,1.2898,14.375,,
5/2/15 2:00,2.1173,14.078,,
5/2/15 3:00,0.92857,13.766,,
5/2/15 4:00,0.93476,13.5,,
5/2/15 5:00,0.93913,13.25,,
5/2/15 6:00,1.0631,13,,
5/2/15 7:00,2.0735,12.984,,
5/2/15 8:00,4.31,13.219,,
5/2/15 9:00,6.4281,13.75,,
5/2/15 10:00,6.7842,14.188,,
5/2/15 11:00,6.6627,14.578,,
5/2/15 12:00,6.1942,15.094,,
5/2/15 13:00,5.6047,15.641,,
5/2/15 14:00,5.1101,16.016,,
5/2/15 15:00,5.02,16.203,,
5/2/15 16:00,5.0379,16.313,,
5/2/15 17:00,4.9652,16.391,,
5/2/15 18:00,5.2823,16.344,,
5/2/15 19:00,4.5853,16.328,,
5/2/15 20:00,4.8477,16.313,,
5/2/15 21:00,4.1523,16.313,,
5/2/15 22:00,4.632,16.219,,
5/2/15 23:00,2.7342,16.063,,
5/3/15 0:00,2.1928,15.844,,
5/3/15 1:00,1.0396,15.547,,
5/3/15 2:00,1.8432,15.266,,
5/3/15 3:00,0.96974,15,,
5/3/15 4:00,0.9752,14.672,,
5/3/15 5:00,0.97753,14.313,,
5/3/15 6:00,0.98462,14.031,,
5/3/15 7:00,0.98809,13.844,,
5/3/15 8:00,2.1499,13.797,,
5/3/15 9:00,5.2523,14.438,,
5/3/15 10:00,5.3787,14.891,,
5/3/15 11:00,6.2419,15.375,,
5/3/15 12:00,6.2173,15.891,,
5/3/15 13:00,5.4029,16.438,,
5/3/15 14:00,5.547,17.016,,
5/3/15 15:00,5.2697,17.516,,
5/3/15 16:00,5.1611,17.875,,
5/3/15 17:00,5.0977,17.813,,
5/3/15 18:00,5.1089,17.719,,
5/3/15 19:00,5.4857,17.688,,
5/3/15 20:00,5.4862,17.563,,
5/3/15 21:00,5.9208,17.5,,
5/3/15 22:00,5.171,17.5,,
5/3/15 23:00,2.9596,17.5,,
5/4/15 0:00,1.4366,17.438,,
5/4/15 1:00,1.0711,17.313,,
5/4/15 2:00,0.94684,17.047,,
5/4/15 3:00,0.94839,16.75,,
5/4/15 4:00,0.94566,16.375,,
5/4/15 5:00,0.96132,16.016,,
5/4/15 6:00,1.4998,15.688,,
5/4/15 7:00,3.9425,15.813,,
5/4/15 8:00,4.8196,15.938,,
5/4/15 9:00,,,,
5/4/15 10:00,3.9972,16.25,,
5/4/15 11:00,4.0889,16.703,,
5/4/15 12:00,3.8041,17.313,,
5/4/15 13:00,4.1928,17.75,,
5/4/15 14:00,3.8861,18.25,,
5/4/15 15:00,3.6676,18.813,,
5/4/15 16:00,3.4634,19.125,,
5/4/15 17:00,4.0876,19.063,,
5/4/15 18:00,5.351,18.813,,
5/4/15 19:00,5.6884,18.641,,
5/4/15 20:00,5.631,18.563,,
5/4/15 21:00,6.2188,18.438,,
5/4/15 22:00,5.7207,18.422,,
5/4/15 23:00,4.6111,18.391,,
5/5/15 0:00,2.4156,18.438,,
5/5/15 1:00,0.93875,18.375,,
5/5/15 2:00,0.91269,18.25,,
5/5/15 3:00,0.91233,18.063,,
5/5/15 4:00,0.91336,17.813,,
5/5/15 5:00,0.91712,17.563,,
5/5/15 6:00,0.92251,17.281,,
5/5/15 7:00,4.3419,17.078,,
5/5/15 8:00,5.7275,17.109,,
5/5/15 9:00,5.4761,17.125,,
5/5/15 10:00,5.1653,17.328,,
5/5/15 11:00,4.6838,17.75,,
5/5/15 12:00,3.5563,18.406,,
5/5/15 13:00,2.8383,18.953,,
5/5/15 14:00,3.349,19.359,,
5/5/15 15:00,3.6066,19.563,,
5/5/15 16:00,2.7611,19.688,,
5/5/15 17:00,4.6127,19.578,,
5/5/15 18:00,5.1063,19.422,,
5/5/15 19:00,5.6485,19.25,,
5/5/15 20:00,5.863,19.172,,
5/5/15 21:00,6.3754,19.125,,
5/5/15 22:00,5.3995,19.203,,
5/5/15 23:00,3.1206,19.313,,
5/6/15 0:00,1.9792,19.453,,
5/6/15 1:00,1.1402,19.438,,
5/6/15 2:00,0.9296,19.313,,
5/6/15 3:00,0.90729,19.125,,
5/6/15 4:00,0.91081,18.906,,
5/6/15 5:00,0.91692,18.688,,
5/6/15 6:00,1.3128,18.438,,
5/6/15 7:00,4.3364,18.094,,
5/6/15 8:00,5.9362,17.922,,
5/6/15 9:00,3.2588,17.859,,
5/6/15 10:00,3.8227,17.969,,
5/6/15 11:00,3.297,18.188,,
5/6/15 12:00,3.4983,18.438,,
5/6/15 13:00,3.4207,18.313,,
5/6/15 14:00,3.3292,18.594,,
5/6/15 15:00,4.1871,18.781,,
5/6/15 16:00,4.5491,18.609,,
5/6/15 17:00,5.0395,18.375,,
5/6/15 18:00,5.2387,18.234,,
5/6/15 19:00,6.2291,18.094,,
5/6/15 20:00,6.1886,17.938,,
5/6/15 21:00,5.6702,17.797,,
5/6/15 22:00,4.8794,17.672,,
5/6/15 23:00,3.6047,17.516,,
5/7/15 0:00,2.3568,17.328,,
5/7/15 1:00,0.9629,17.125,,
5/7/15 2:00,0.99736,16.938,,
5/7/15 3:00,0.95674,16.719,,
5/7/15 4:00,0.95995,16.5,,
5/7/15 5:00,0.96776,16.25,,
5/7/15 6:00,1.0262,16.016,,
5/7/15 7:00,5.264,16.25,,
5/7/15 8:00,7.0921,16.5,,
5/7/15 9:00,4.705,16.422,,
5/7/15 10:00,4.6013,16.594,,
5/7/15 11:00,3.9391,17.047,,
5/7/15 12:00,4.1602,17.688,,
5/7/15 13:00,3.6204,18.375,,
5/7/15 14:00,2.9622,18.938,,
5/7/15 15:00,3.0348,19.438,,
5/7/15 16:00,5.3481,19.672,,
5/7/15 17:00,5.3539,19.531,,
5/7/15 18:00,5.6399,19.375,,
5/7/15 19:00,5.8976,19.203,,
5/7/15 20:00,6.5911,19.109,,
5/7/15 21:00,5.7258,19,,
5/7/15 22:00,6.7766,18.906,,
5/7/15 23:00,5.3032,18.875,,
5/8/15 0:00,1.9697,18.938,,
5/8/15 1:00,1.525,18.859,,
5/8/15 2:00,1.0506,18.688,,
5/8/15 3:00,1.0195,18.438,,
5/8/15 4:00,1.0161,18.188,,
5/8/15 5:00,1.0185,17.875,,
5/8/15 6:00,1.8626,17.594,,
5/8/15 7:00,5.6972,17.438,,
5/8/15 8:00,6.3505,17.406,,
5/8/15 9:00,5.9417,17.5,,
5/8/15 10:00,5.3824,17.688,,
5/8/15 11:00,4.8431,18.125,,
5/8/15 12:00,4.7734,18.625,,
5/8/15 13:00,4.804,19.203,,
5/8/15 14:00,4.9835,19.75,,
5/8/15 15:00,4.2723,20.156,,
5/8/15 16:00,4.5878,20.375,,
5/8/15 17:00,4.8954,20.25,,
5/8/15 18:00,6.4424,20.047,,
5/8/15 19:00,6.421,19.844,,
5/8/15 20:00,6.3941,19.781,,
5/8/15 21:00,6.2742,19.703,,
5/8/15 22:00,5.3132,19.625,,
5/8/15 23:00,4.5535,19.563,,
5/9/15 0:00,3.3228,19.578,,
5/9/15 1:00,1.4939,19.609,,
5/9/15 2:00,1.1282,19.391,,
5/9/15 3:00,0.98159,19.188,,
5/9/15 4:00,0.95712,19,,
5/9/15 5:00,0.97376,18.813,,
5/9/15 6:00,1.0176,18.609,,
5/9/15 7:00,1.6571,18.438,,
5/9/15 8:00,5.3008,18.25,,
5/9/15 9:00,5.3898,18.188,,
5/9/15 10:00,6.6317,18.141,,
5/9/15 11:00,6.0818,18.141,,
5/9/15 12:00,5.8981,18.188,,
5/9/15 13:00,5.4318,18.313,,
5/9/15 14:00,5.0303,18.5,,
5/9/15 15:00,5.2082,18.578,,
5/9/15 16:00,4.6587,18.734,,
5/9/15 17:00,6.3235,18.813,,
5/9/15 18:00,5.7983,18.813,,
5/9/15 19:00,6.6669,18.75,,
5/9/15 20:00,5.5068,18.656,,
5/9/15 21:00,5.8487,18.594,,
5/9/15 22:00,4.5347,18.578,,
5/9/15 23:00,3.9397,18.484,,
5/10/15 0:00,2.5175,18.531,,
5/10/15 1:00,1.4522,18.625,,
5/10/15 2:00,1.1669,18.688,,
5/10/15 3:00,0.99071,18.688,,
5/10/15 4:00,1.0496,18.641,,
5/10/15 5:00,0.96172,18.609,,
5/10/15 6:00,1.0207,18.516,,
5/10/15 7:00,1.3122,18.438,,
5/10/15 8:00,3.4103,18.375,,
5/10/15 9:00,5.9808,18.078,,
5/10/15 10:00,6.7738,18.047,,
5/10/15 11:00,6.4533,18.141,,
5/10/15 12:00,6.1211,18.359,,
5/10/15 13:00,5.7675,18.625,,
5/10/15 14:00,5.2864,19.016,,
5/10/15 15:00,6.2112,19.313,,
5/10/15 16:00,7.3199,19.5,,
5/10/15 17:00,6.2727,19.578,,
5/10/15 18:00,7.4709,19.438,,
5/10/15 19:00,7.5075,19.313,,
5/10/15 20:00,7.4353,19.266,,
5/10/15 21:00,8.1185,19.109,,
5/10/15 22:00,7.0336,19.063,,
5/10/15 23:00,5.3183,19.188,,
5/11/15 0:00,2.446,19.625,,
5/11/15 1:00,1.3244,19.828,,
5/11/15 2:00,1.0065,19.828,,
5/11/15 3:00,1.0595,19.813,,
5/11/15 4:00,1.0223,19.813,,
5/11/15 5:00,1.1167,19.75,,
5/11/15 6:00,1.5367,19.609,,
5/11/15 7:00,4.7288,19.016,,
5/11/15 8:00,5.431,18.719,,
5/11/15 9:00,5.0198,18.75,,
5/11/15 10:00,4.1692,18.938,,
5/11/15 11:00,5.4285,19.219,,
5/11/15 12:00,4.3079,19.797,,
5/11/15 13:00,3.6444,20.25,,
5/11/15 14:00,4.5257,20.297,,
5/11/15 15:00,5.422,20.563,,
5/11/15 16:00,5.7174,20.922,,
5/11/15 17:00,5.9957,20.859,,
5/11/15 18:00,7.403,20.516,,
5/11/15 19:00,8.356,20.094,,
5/11/15 20:00,8.4311,20,,
5/11/15 21:00,8.6713,19.875,,
5/11/15 22:00,8.4609,19.875,,
5/11/15 23:00,6.267,20.031,,
5/12/15 0:00,3.4022,20.609,,
5/12/15 1:00,1.427,20.938,,
5/12/15 2:00,0.9688,20.922,,
5/12/15 3:00,0.96339,20.75,,
5/12/15 4:00,0.95517,20.563,,
5/12/15 5:00,1.2759,20.313,,
5/12/15 6:00,2.7733,20.031,,
5/12/15 7:00,6.8201,19.406,,
